"Allocation","Num","mean","std","rrr","sharpe1","sharpe2","type"
"Large_Cap: 0%,  Fixed: 100%",0,0.00435752907589662,0.0147525155698295,0.295375324653663,0.277850339543552,0.279468747474967,"Monthly"
"Large_Cap: 1%,  Fixed: 99%",1,0.00440907176194177,0.0146895738757028,0.300149738804511,0.28254966286728,0.284175005331844,"Monthly"
"Large_Cap: 2%,  Fixed: 98%",2,0.00446061444798693,0.0146461865514267,0.304558079492194,0.28690586573743,0.288536023056722,"Monthly"
"Large_Cap: 3%,  Fixed: 97%",3,0.00451215713403209,0.0146225276606492,0.308575729090586,0.290894954487321,0.292527749361137,"Monthly"
"Large_Cap: 4%,  Fixed: 96%",4,0.00456369982007725,0.0146186929891664,0.312182479203804,0.294497066705605,0.296130289882549,"Monthly"
"Large_Cap: 5%,  Fixed: 95%",5,0.0046152425061224,0.0146346981203697,0.315363013856676,0.29769694288128,0.29932837989557,"Monthly"
"Large_Cap: 6%,  Fixed: 94%",6,0.00466678519216756,0.0146704781201907,0.318107232356985,0.300484247367687,0.302111705451256,"Monthly"
"Large_Cap: 7%,  Fixed: 93%",7,0.00471832787821272,0.0147258888462948,0.320410396103179,0.302853723063168,0.304475057330712,"Monthly"
"Large_Cap: 8%,  Fixed: 92%",8,0.00476987056425788,0.0148007098204668,0.322273095149934,0.304805175108665,0.306418313160566,"Monthly"
"Large_Cap: 9%,  Fixed: 91%",9,0.00482141325030303,0.0148946485323988,0.323701042009518,0.306343289986328,0.307946254175419,"Monthly"
"Large_Cap: 10%,  Fixed: 90%",10,0.00487295593634819,0.0150073459830682,0.324704710736065,0.307477306504188,0.309068233256558,"Monthly"
"Large_Cap: 11%,  Fixed: 89%",11,0.00492449862239335,0.0151383832308846,0.325298847788885,0.308220563288167,0.309797719041354,"Monthly"
"Large_Cap: 12%,  Fixed: 88%",12,0.00497604130843851,0.0152872886763003,0.325501886816123,0.308589952909965,0.310151746417767,"Monthly"
"Large_Cap: 13%,  Fixed: 87%",13,0.00502758399448366,0.0154535458111641,0.325335302067153,0.308605315379492,0.310150306315442,"Monthly"
"Large_Cap: 14%,  Fixed: 86%",14,0.00507912668052882,0.0156366011665179,0.324822934756728,0.308288803525477,0.309815707483203,"Monthly"
"Large_Cap: 15%,  Fixed: 85%",15,0.00513066936657398,0.0158358722141076,0.32399032381704,0.307664250191135,0.309171940319201,"Monthly"
"Large_Cap: 16%,  Fixed: 84%",16,0.00518221205261914,0.0160507550090373,0.322864067746428,0.306756562800251,0.3082440684156,"Monthly"
"Large_Cap: 17%,  Fixed: 83%",17,0.00523375473866429,0.0162806313998113,0.321471238438882,0.305591165403082,0.307057667998725,"Monthly"
"Large_Cap: 18%,  Fixed: 82%",18,0.00528529742470945,0.0165248756736837,0.319838861670011,0.304193502467117,0.305638329567666,"Monthly"
"Large_Cap: 19%,  Fixed: 81%",19,0.00533684011075461,0.0167828605464825,0.317993472922776,0.302588613007395,0.304011230334185,"Monthly"
"Large_Cap: 20%,  Fixed: 80%",20,0.00538838279679977,0.0170539624443251,0.315960751900965,0.30080077857852,0.302200780970016,"Monthly"
